date,rain,tg,sm,sp,fl
7/12/1979,0.090414037,12.52491554,374.1646994,0,5.01
7/13/1979,0.569276723,13.51552634,371.8844921,0,4.82
7/14/1979,1.463127227,15.29676893,369.8241492,0,4.74
7/15/1979,1.402376224,16.97002112,368.4507971,0,4.55
7/16/1979,2.064105507,15.42472092,367.9438106,0,4.56
7/17/1979,1.867198632,12.76040818,367.6245031,0,4.58
7/18/1979,0.757354049,10.88353587,365.742625,0,4.55
7/19/1979,1.99060195,13.41018216,364.1322994,0,4.46
7/20/1979,0.972074086,17.65880744,361.959289,0,4.38
7/21/1979,5.450294593,17.30069587,362.8850641,0,4.28
7/22/1979,0.276084525,16.96298771,360.6681218,0,4.31
7/23/1979,0.019887997,14.26021991,358.4077982,0,4.28
7/24/1979,0.117372925,12.02529412,356.1647238,0,4.73
7/25/1979,0.370447478,11.36492462,354.336795,0,3.95
7/26/1979,4.733231731,12.30345283,355.4848573,0,3.87
7/27/1979,2.550938414,13.5198871,355.1530354,0,3.81
7/28/1979,1.036357447,13.53123161,353.8154471,0,3.84
7/29/1979,0.016641679,13.15126942,351.2036986,0,3.88
7/30/1979,2.369437154,14.81127003,350.3756644,0,4.68
7/31/1979,1.902474547,16.93337785,348.5019044,0,7.9
8/1/1979,2.014103557,17.8941195,347.1196008,0,6.07
8/2/1979,0.00199151,19.7020513,343.9486988,0,4.72
8/3/1979,0.939809846,22.15629511,341.7598032,0,4.26
8/4/1979,13.73442782,20.85911389,349.1876603,0,4.13
8/5/1979,0.036440813,16.39597901,347.0398266,0,4.74
8/6/1979,0.057705425,13.46856084,344.6496423,0,4.43
8/7/1979,0,14.49597678,342.2645775,0,4.23
8/8/1979,0,15.58845454,339.7473654,0,4.06
8/9/1979,12.97895701,16.54077589,347.2342133,0,4.22
8/10/1979,12.33377314,15.77593255,354.2444699,0,5.05
8/11/1979,0.00047255,13.73763033,352.3140482,0,5.13
8/12/1979,0.119685719,11.36379253,350.4204317,0,4.38
8/13/1979,1.008510386,10.95252534,349.9102829,0,4.29
8/14/1979,0,10.21474293,347.7774549,0,4.23
8/15/1979,0,14.13325827,345.082554,0,4.16
8/16/1979,0,16.67431992,342.3754752,0,4.08
8/17/1979,0,17.61389213,339.9549857,0,4.01
8/18/1979,2.810352905,16.28287941,339.9446361,0,3.93
8/19/1979,8.165365982,14.29755027,343.8204469,0,3.86
8/20/1979,9.276814918,13.68115008,348.9649107,0,4.21
8/21/1979,0.01439727,13.66071241,346.8330991,0,4.15
8/22/1979,0,14.70829287,344.7106764,0,3.81
8/23/1979,0,15.75537833,342.5605588,0,3.79
8/24/1979,3.958299829,15.8373833,343.3919301,0,3.77
8/25/1979,7.219419265,15.22586327,347.0052188,0,4.03
8/26/1979,0.52320436,10.6386671,345.7153908,0,4.13
8/27/1979,8.768221486,10.3397739,350.4735917,0,4.46
8/28/1979,0.059884123,10.44985369,349.0244801,0,4.45
8/29/1979,0.085476573,9.566593725,347.7820469,0,4.06
8/30/1979,0.008904269,9.383197569,346.0897012,0,4
8/31/1979,0,10.8134254,343.9558428,0,3.94
9/1/1979,0,11.94630665,341.7162557,0,3.75
9/2/1979,0,14.66838918,339.564026,0,3.88
9/3/1979,0.000420847,14.78412623,337.3894483,0,4.01
9/4/1979,2.533678694,15.00364889,337.9222375,0,4.01
9/5/1979,1.999119335,11.3378112,338.1026062,0,4.44
9/6/1979,0,12.00211518,336.3222395,0,4.3
9/7/1979,0,13.2206245,334.5396788,0,4.05
9/8/1979,0,11.92518776,332.6819531,0,3.97
9/9/1979,0.065678401,13.17546047,330.950899,0,3.94
9/10/1979,7.040548936,15.15527683,334.8821416,0,4.08
9/11/1979,0,12.64943376,333.184526,0,4.21
9/12/1979,0,13.27742624,331.5876947,0,4.09
9/13/1979,0.006431383,14.31482566,329.6794489,0,4.1
9/14/1979,2.233823323,14.90159286,329.7280513,0,4.15
9/15/1979,5.511433968,15.03652369,332.4748975,0,4.3
9/16/1979,0.23875019,9.272433652,331.7756619,0,4.21
9/17/1979,0,5.100632649,330.5283507,0,4.15
9/18/1979,0,6.677502595,328.9707539,0,4.05
9/19/1979,0,11.27671177,327.4223985,0,4
9/20/1979,0,14.23393853,325.6509664,0,3.98
9/21/1979,0,14.57837956,324.1676814,0,3.96
9/22/1979,2.84E-05,14.02977762,322.7070993,0,3.94
9/23/1979,8.855258825,13.94415403,328.1565221,0,3.92
9/24/1979,19.75231861,13.51630004,342.0596521,0,4.24
9/25/1979,1.593433665,13.53883204,342.6182383,0,5.26
9/26/1979,0,7.644896757,341.5446457,0,4.58
9/27/1979,0,8.018321021,340.1420283,0,4.16
9/28/1979,0,9.258585673,338.8303706,0,4.08
9/29/1979,0.035727258,9.993183343,337.7386478,0,3.99
9/30/1979,0,9.575470857,336.6234773,0,3.92
10/1/1979,0,6.515240953,335.6899841,0,3.74
10/2/1979,0,6.977673935,334.7680882,0,3.61
10/3/1979,0,4.220783222,333.9319472,0,3.48
10/4/1979,0,0.875552689,333.0834969,0,3.35
10/5/1979,0,2.091214981,332.0689671,0,3.27
10/6/1979,0,6.142718309,331.0638101,0,3.38
10/7/1979,0,4.515017614,330.1797456,0,3.53
10/8/1979,0,1.468894792,329.3309765,0,3.35
10/9/1979,0,2.789597083,328.4728926,0,3.33
10/10/1979,0,3.477747483,327.5637711,0,3.31
10/11/1979,0,3.610635638,326.5886528,0,3.17
10/12/1979,0.00047255,5.200630799,325.5340752,0,3.24
10/13/1979,0.398138307,7.440837573,324.8123405,0,3.3
10/14/1979,0,9.450085792,324.0466953,0,3.36
10/15/1979,0,11.15509903,323.0763396,0,3.36
10/16/1979,0.475741721,12.66600578,322.4592717,0,3.51
10/17/1979,0.824821816,13.20090056,322.1602737,0,3.43
10/18/1979,1.491104775,11.35991113,322.7007012,0,3.42
10/19/1979,0.963103142,8.052322945,322.9565307,0,3.43
10/20/1979,0.043521524,5.188410687,322.3267757,0,3.52
10/21/1979,0,5.97056472,321.5756194,0,3.45
10/22/1979,5.929527416,6.147077836,325.4972354,0,3.41
10/23/1979,3.286586138,3.732459489,327.6804591,1.206863776,3.47
10/24/1979,0.0405846,1.717548176,327.2536656,1.324872042,3.4
10/25/1979,0.033199935,-0.802799666,326.8172219,1.793585663,3.38
10/26/1979,0,-1.500067173,326.4003296,1.793585663,3.35
10/27/1979,0,-2.965742035,325.9080541,1.790861642,3.35
10/28/1979,0,-1.60101225,325.4786655,1.691180917,3.46
10/29/1979,10.1397113,0.377694516,333.770255,5.934058382,3.49
10/30/1979,1.395024034,1.510371659,335.1735011,4.796695523,3.62
10/31/1979,1.018517561,3.354698651,335.9935166,4.429699099,3.55
11/1/1979,0.006629333,1.999416632,335.6791652,4.446313337,3.36
11/2/1979,4.408745099,0.463249481,338.8923429,5.625386561,3.17
11/3/1979,0.576390165,1.645162632,339.0465075,6.47871623,3.16
11/4/1979,0.054653891,0.856654663,338.8882804,6.628379365,3.33
11/5/1979,0.04930624,-0.42635432,338.7890889,8.836436252,3.25
11/6/1979,0.845175177,-1.042823058,340.0277547,8.465567067,3.24
11/7/1979,1.730916169,0.978834249,341.210988,10.19753215,3.31
11/8/1979,4.488279624,0.901319059,344.6186971,16.5762091,3.55
11/9/1979,2.517908219,0.518745747,347.253222,14.98919826,4.21
11/10/1979,4.409357741,2.840756797,350.7504142,17.71714519,4.23
11/11/1979,7.652834657,1.350449247,356.5984974,24.55303633,4.18
11/12/1979,0.39182474,1.05895783,356.7771238,25.8223015,4.05
11/13/1979,0.376348124,-0.252046256,356.9389764,26.93987697,3.89
11/14/1979,8.517091204,-0.346927992,363.8960753,27.01056856,4
11/15/1979,10.81800247,2.32511987,373.8728136,22.15648108,7.64
11/16/1979,16.92184771,5.689434423,386.5294922,18.56327341,24.82
