basin_id,long,lat,prop_rr,prop_tg,prop_sm,prop_sp,prop_mu,mag_ratio,mag_ttest_p,flood_com,flood_com_p,est_err
2838,14.0,52.37,0.026,0.718,0.513,0.154,0.436,1.364,0.0,0.076,0.0,-27.032
2839,13.86,52.46,0.436,0.231,0.667,0.256,0.487,1.422,0.0,0.083,0.0,0.47
2840,14.41,51.16,0.514,0.054,0.568,0.432,0.568,0.984,0.524,0.116,0.0,-25.22
2841,12.77,51.01,0.692,0.0,0.513,0.41,0.487,0.944,0.59,0.143,0.0,-53.311
2842,12.49,50.74,0.513,0.0,0.59,0.436,0.462,0.9,0.659,0.165,0.0,-25.212
2843,12.78,50.98,0.795,0.179,0.41,0.487,0.538,0.99,0.52,0.139,0.0,-28.904
2844,12.72,50.6,0.487,0.103,0.615,0.538,0.538,0.755,0.851,0.117,0.0,-35.475
2845,13.24,50.7,0.531,0.0,0.5,0.5,0.469,1.071,0.428,0.072,0.0,-69.889
2846,13.02,50.89,0.621,0.0,0.552,0.448,0.517,1.134,0.356,0.122,0.0,-52.219
2847,13.08,50.63,0.462,0.103,0.59,0.513,0.538,0.979,0.528,0.132,0.0,-25.072
2848,12.26,50.33,0.676,0.081,0.595,0.432,0.649,1.266,0.132,0.115,0.0,15.281
2849,13.4,51.52,0.351,0.027,0.622,0.27,0.351,1.373,0.031,0.119,0.0,-3.87
2850,14.37,51.58,0.414,0.0,0.448,0.379,0.31,1.307,0.115,0.098,0.0,-33.946
2851,14.57,51.41,0.385,0.0,0.487,0.333,0.41,2.012,0.0,0.136,0.0,8.073
2852,12.67,54.12,0.286,0.071,0.643,0.286,0.321,1.259,0.126,0.017,0.0,-34.068
2853,12.66,54.12,0.4,0.1,0.433,0.3,0.333,1.129,0.212,0.048,0.0,-31.215
2854,13.32,53.79,0.395,0.263,0.763,0.237,0.605,1.581,0.0,0.083,0.0,-16.77
2855,8.88,47.79,0.564,0.128,0.615,0.359,0.564,1.228,0.04,0.141,0.0,-17.436
2856,9.28,48.08,0.564,0.0,0.718,0.231,0.513,1.401,0.002,0.094,0.0,-20.071
2857,9.16,48.01,0.615,0.0,0.641,0.359,0.641,1.399,0.01,0.072,0.0,-11.082
2858,9.83,48.24,0.667,0.077,0.436,0.231,0.41,1.131,0.144,0.061,0.0,2.082
2859,9.9,48.26,0.744,0.103,0.436,0.231,0.385,1.209,0.058,0.043,0.0,-12.48
2860,10.36,48.48,0.658,0.053,0.526,0.132,0.368,1.184,0.113,0.067,0.0,-1.289
2861,10.71,48.61,0.684,0.158,0.474,0.211,0.421,1.349,0.023,0.029,0.0,-24.969
2862,10.66,48.29,0.658,0.105,0.474,0.184,0.395,1.221,0.142,0.086,0.0,-28.098
2863,10.69,48.78,0.667,0.154,0.718,0.333,0.795,1.598,0.036,0.123,0.0,-20.258
2864,10.32,47.73,0.897,0.0,0.179,0.231,0.308,1.267,0.066,0.102,0.0,-19.763
2865,9.99,48.37,0.923,0.0,0.333,0.282,0.41,1.154,0.117,0.097,0.0,-16.937
2866,10.33,47.51,0.947,0.053,0.132,0.053,0.158,1.35,0.101,0.061,0.0,-26.683
2867,10.04,47.88,0.821,0.0,0.436,0.333,0.513,0.971,0.645,0.08,0.0,-11.231
2868,11.42,48.75,0.846,0.0,0.385,0.282,0.359,1.053,0.296,0.07,0.0,-24.151
2869,10.5,48.57,0.744,0.0,0.436,0.231,0.385,1.079,0.174,0.087,0.0,6.883
2870,9.73,48.27,0.421,0.0,0.684,0.5,0.526,1.586,0.001,0.133,0.0,-13.706
2871,10.89,48.41,0.923,0.103,0.256,0.0,0.256,1.084,0.337,0.122,0.0,-33.096
2872,10.8,47.7,1.0,0.538,0.179,0.051,0.59,1.356,0.014,0.103,0.0,-26.066
2873,10.88,48.04,0.974,0.154,0.256,0.051,0.41,1.308,0.065,0.111,0.0,-34.292
2874,11.2,48.89,0.59,0.026,0.769,0.256,0.615,2.075,0.0,0.104,0.0,-13.89
2875,11.48,49.03,0.571,0.086,0.657,0.257,0.6,1.497,0.003,0.116,0.0,-1.548
2876,10.91,48.95,0.564,0.026,0.744,0.308,0.615,2.558,0.004,0.11,0.0,-16.227
2877,11.44,49.11,0.6,0.0,0.65,0.35,0.55,1.503,0.063,0.104,0.0,-15.021
2878,10.64,47.83,0.795,0.0,0.385,0.231,0.359,1.062,0.362,0.096,0.0,-37.306
2879,11.06,47.6,0.897,0.0,0.231,0.0,0.205,1.303,0.185,0.056,0.0,-22.573
2880,12.14,49.02,0.806,0.0,0.528,0.361,0.556,1.215,0.021,0.126,0.0,1.819
2881,11.94,49.12,0.513,0.0,0.821,0.538,0.769,2.119,0.001,0.149,0.0,-1.829
2882,12.15,49.54,0.615,0.0,0.795,0.538,0.744,2.434,0.0,0.178,0.0,0.566
2883,12.13,49.13,0.815,0.0,0.63,0.63,0.778,0.954,0.59,0.095,0.0,-28.373
2884,13.0,49.04,0.868,0.0,0.658,0.474,0.763,0.912,0.754,0.103,0.0,-21.347
2885,12.84,49.31,0.769,0.103,0.538,0.41,0.641,0.937,0.623,0.085,0.0,-20.112
2886,12.42,48.91,0.538,0.205,0.513,0.462,0.641,1.8,0.004,0.101,0.0,-1.189
2887,11.87,48.46,0.41,0.128,0.359,0.103,0.154,1.164,0.101,0.044,0.0,-7.842
2888,11.52,48.42,0.564,0.282,0.513,0.282,0.538,1.18,0.174,0.072,0.0,-17.367
2889,11.98,48.41,0.538,0.103,0.564,0.308,0.487,1.447,0.02,0.117,0.0,-20.51
2890,12.69,48.61,0.667,0.385,0.538,0.385,0.692,1.243,0.104,0.112,0.0,-24.979
2891,12.36,48.45,0.641,0.282,0.538,0.41,0.615,0.959,0.591,0.078,0.0,-2.44
2892,13.12,48.68,0.872,0.0,0.462,0.205,0.462,1.328,0.001,0.127,0.0,-5.329
2893,9.15,48.09,0.692,0.051,0.744,0.359,0.692,1.102,0.254,0.103,0.0,-35.752
2894,13.37,48.63,0.692,0.179,0.564,0.641,0.821,0.981,0.529,0.129,0.0,-25.663
2895,13.45,48.69,0.897,0.0,0.692,0.615,0.897,1.455,0.062,0.175,0.0,-16.675
2896,13.5,48.58,0.769,0.0,0.282,0.205,0.256,1.023,0.424,0.087,0.0,-35.232
2897,12.01,48.95,0.846,0.0,0.462,0.282,0.436,1.131,0.08,0.076,0.0,-5.64
2898,12.75,48.88,0.744,0.0,0.641,0.359,0.641,1.353,0.002,0.127,0.0,-5.516
2899,12.69,48.67,0.846,0.0,0.282,0.103,0.205,1.081,0.299,0.13,0.0,-34.135
2900,11.58,47.68,0.897,0.077,0.205,0.051,0.231,1.136,0.278,0.109,0.0,-15.259
2901,11.54,47.78,0.923,0.0,0.077,0.026,0.103,1.54,0.021,0.092,0.0,-9.769
2902,11.27,47.44,0.75,0.111,0.278,0.056,0.389,1.313,0.072,0.087,0.0,-27.274
2903,11.36,47.67,1.0,0.179,0.154,0.0,0.282,1.091,0.137,0.127,0.0,-15.32
2904,11.06,47.5,0.974,0.077,0.179,0.0,0.231,1.225,0.154,0.076,0.0,-39.09
2905,11.26,47.43,0.667,0.296,0.148,0.074,0.259,1.342,0.208,0.038,0.0,-40.956
2906,13.36,48.82,0.897,0.051,0.59,0.59,0.795,1.261,0.125,0.095,0.0,-2.962
2907,9.4,48.07,0.436,0.051,0.692,0.59,0.615,1.497,0.005,0.155,0.0,-24.998
2908,8.68,47.93,0.59,0.487,0.462,0.538,0.718,1.752,0.009,0.185,0.0,-11.189
2909,12.23,48.06,0.821,0.795,0.077,0.205,0.769,0.953,0.622,0.11,0.0,-21.305
2910,11.83,47.89,0.923,0.0,0.282,0.077,0.282,1.387,0.054,0.083,0.0,-25.183
2911,11.94,47.71,0.769,0.0,0.256,0.026,0.205,1.502,0.018,0.129,0.0,-35.579
2912,12.83,48.16,0.923,0.0,0.231,0.103,0.205,1.131,0.241,0.136,0.0,-26.697
2913,12.54,47.99,0.846,0.0,0.128,0.231,0.179,0.741,0.879,0.114,0.0,-32.833
2914,12.65,47.83,0.897,0.0,0.077,0.231,0.179,0.716,0.925,0.153,0.0,-22.99
2915,12.65,47.82,0.821,0.0,0.077,0.179,0.128,0.781,0.849,0.168,0.0,-22.101
2916,13.01,47.64,0.923,0.179,0.077,0.103,0.231,0.985,0.538,0.161,0.0,-14.931
2917,12.95,47.62,0.821,0.0,0.308,0.026,0.308,1.196,0.138,0.146,0.0,-10.393
2918,12.82,47.68,0.821,0.051,0.077,0.231,0.205,0.828,0.805,0.177,0.0,-2.156
2919,12.48,47.78,0.846,0.0,0.128,0.154,0.205,0.802,0.835,0.136,0.0,-40.269
2920,13.44,48.56,0.897,0.0,0.308,0.103,0.359,1.184,0.128,0.139,0.0,-36.805
2921,9.39,45.85,0.861,0.0,0.278,0.028,0.25,1.34,0.014,0.091,0.0,-10.387
2922,11.41,46.88,0.741,0.0,0.222,0.222,0.259,2.125,0.0,0.153,0.0,8.33
2923,11.37,45.84,0.857,0.429,0.0,0.0,0.381,2.497,0.0,0.162,0.0,-34.436
2924,14.16,52.69,0.324,0.324,0.471,0.0,0.382,1.48,0.002,0.097,0.0,-2.214
2925,14.69,52.15,0.184,0.079,0.605,0.211,0.316,1.39,0.015,0.083,0.0,-38.935
2926,14.71,51.97,0.395,0.0,0.658,0.421,0.5,0.938,0.593,0.095,0.0,-20.773
2927,14.99,51.16,0.462,0.0,0.487,0.41,0.359,0.789,0.737,0.131,0.0,-52.814
2928,14.82,50.87,0.6,0.057,0.371,0.343,0.371,1.079,0.338,0.161,0.0,6.691
2929,14.94,51.06,0.462,0.154,0.59,0.308,0.436,1.549,0.062,0.139,0.0,-51.052
2930,21.96,56.99,0.167,0.208,0.792,0.583,0.625,1.395,0.052,0.042,0.0,-13.624
2931,25.89,56.49,0.045,0.364,0.864,0.364,0.591,1.21,0.02,0.064,0.0,-8.755
2932,26.51,55.86,0.026,0.579,0.868,0.237,0.579,1.559,0.001,0.046,0.0,1.988
2933,24.18,56.4,0.0,0.364,0.773,0.0,0.318,1.278,0.052,0.025,0.0,-15.713
2934,24.16,56.92,0.0,0.524,0.952,0.286,0.714,0.954,0.635,0.029,0.0,4.509
2935,-21.6,64.71,0.676,0.0,0.294,0.412,0.471,1.094,0.284,0.06,0.0,-14.576
2936,-21.01,63.94,0.579,0.0,0.421,0.132,0.289,1.424,0.0,0.045,0.0,-23.019
2937,-20.63,63.93,0.053,0.5,0.053,0.5,0.342,1.308,0.013,0.028,0.0,-15.152
2938,-15.09,64.98,0.182,0.773,0.0,0.545,0.591,0.993,0.522,-0.007,1.0,-15.387
2939,-14.49,64.75,0.895,0.184,0.211,0.105,0.421,1.056,0.363,0.101,0.0,-16.338
2940,-20.11,65.3,0.0,0.484,0.0,0.774,0.516,0.945,0.658,0.001,0.926,-22.32
2941,-17.9,65.85,0.0,0.812,0.125,0.531,0.406,1.541,0.001,0.077,0.0,-6.916
2942,-17.64,63.95,0.921,0.395,0.158,0.0,0.526,1.411,0.031,0.119,0.0,-4.359
2943,-19.38,65.49,0.158,0.579,0.105,0.447,0.395,1.075,0.243,0.033,0.0,5.846
2944,-17.35,65.37,0.0,0.871,0.0,0.613,0.548,1.21,0.079,0.009,0.004,-16.497
2945,-16.19,65.62,0.079,0.737,0.0,0.158,0.079,0.663,0.985,-0.021,1.0,0.721
2946,-16.21,65.06,0.514,0.857,0.0,0.0,0.4,0.826,0.936,-0.017,1.0,8.638
2947,-14.36,65.5,0.273,0.818,0.0,0.727,0.773,1.27,0.047,0.04,0.0,6.081
2948,5.45,51.82,0.868,0.263,0.921,0.0,0.842,1.022,,0.096,0.0,-28.007
2949,5.71,50.83,0.84,0.4,0.76,0.16,0.8,1.481,0.066,0.116,0.0,-19.582
2950,6.16,51.37,0.875,0.375,0.833,0.125,0.792,1.35,0.058,0.062,0.0,-10.592
2951,5.72,50.87,0.806,0.361,0.778,0.222,0.806,1.195,0.182,0.125,0.0,-8.961
2952,15.61,53.63,0.513,0.128,0.436,0.256,0.359,1.422,0.0,0.132,0.0,9.745
2953,15.26,54.06,0.487,0.256,0.564,0.231,0.487,1.361,0.0,0.109,0.0,4.777
2954,17.42,54.42,0.256,0.333,0.308,0.128,0.333,1.344,0.013,0.064,0.0,-19.41
2955,17.03,54.47,0.564,0.359,0.462,0.41,0.513,1.178,0.022,0.062,0.0,-15.956
2956,15.84,52.85,0.211,0.211,0.474,0.053,0.158,1.325,0.024,0.046,0.0,-9.816
2957,16.73,53.05,0.324,0.243,0.649,0.054,0.486,1.534,0.001,0.071,0.0,-4.225
2958,16.8,53.37,0.5,0.029,0.853,0.353,0.559,1.181,0.022,0.075,0.0,-11.911
2959,16.74,53.15,0.256,0.051,0.59,0.333,0.385,1.29,0.002,0.086,0.0,-0.257
2960,16.84,52.67,0.257,0.229,0.714,0.086,0.371,1.768,0.003,0.082,0.0,-9.787
2961,18.94,51.46,0.308,0.026,0.538,0.205,0.333,1.489,0.024,0.11,0.0,-12.053
2962,18.76,51.39,0.389,0.0,0.75,0.167,0.417,1.571,0.041,0.119,0.0,-16.597
2963,18.99,51.46,0.308,0.026,0.615,0.256,0.359,1.585,0.012,0.136,0.0,-15.573
2964,17.74,52.22,0.314,0.229,0.6,0.0,0.371,1.384,0.094,0.053,0.0,-5.845
2965,18.13,51.28,0.205,0.077,0.462,0.308,0.333,1.5,0.055,0.106,0.0,-23.997
2966,18.07,51.64,0.316,0.079,0.447,0.316,0.342,1.448,0.048,0.094,0.0,-24.821
2967,16.64,52.09,0.27,0.541,0.595,0.189,0.514,1.791,0.006,0.059,0.0,-29.762
2968,16.86,52.25,0.108,0.135,0.595,0.0,0.081,1.603,0.047,0.045,0.0,-2.174
2969,16.53,52.15,0.27,0.378,0.676,0.108,0.432,1.371,0.109,0.043,0.0,-15.169
2970,16.95,52.32,0.229,0.314,0.629,0.057,0.371,1.701,0.005,0.058,0.0,-11.558
